    42,   19921127033400.,   16.14,  130.44,   28.97,  0.03692,  0.00012,    0.00,    0.28,    0.00,   19.00,    0.94,    0.91
    43,   19921127042500.,   36.00,  159.61,   28.96,  0.06906,  0.00019,   40.87,    0.27,    0.00,   19.00,    0.71,    1.12
    44,   19921127051700.,   33.04,  154.15,   28.92,  0.04687,  0.00018,    7.57,    0.31,    0.00,   19.00,    0.84,    1.09
    45,   19921127060800.,   57.13,  233.05,   28.97,  0.15338,  0.00029,    7.16,    0.27,    0.00,   19.00,    0.48,    1.29
    46,   19921127070000.,   31.72,  142.24,   28.89,  0.03905,  0.00017,    0.00,    0.33,    0.00,   19.00,    0.91,    1.07
    47,   19921127075100.,   18.80,  132.48,   28.85,  0.02611,  0.00013,    0.00,    0.37,    0.00,   19.00,    1.08,    0.94
    48,   19921127084200.,   12.26,  124.33,   28.77,  0.01922,  0.00010,    0.00,    0.39,    0.00,   19.00,    1.21,    0.86
    49,   19921127093400.,    8.02,  113.73,   28.75,  0.01523,  0.00009,    0.00,    0.40,    0.00,   19.00,    1.32,    0.78
    50,   19921127102500.,    7.08,  125.50,   28.76,  0.02049,  0.00009,    0.00,    0.38,    0.00,   19.00,    1.19,    0.78
    51,   19921127113200.,    8.76,  137.13,   28.81,  0.03321,  0.00010,    0.00,    0.33,    0.00,   19.00,    0.98,    0.82
    52,   19921127122600.,    9.08,  145.98,   28.82,  0.04636,  0.00011,    0.00,    0.30,    0.00,   19.00,    0.85,    0.84
    53,   19921127134800.,    8.47,  110.27,   28.80,  0.03154,  0.00009,    0.00,    0.31,    0.00,   19.00,    1.01,    0.79
    54,   19921127143900.,    8.06,  112.70,   28.80,  0.03540,  0.00009,    0.00,    0.30,    0.00,   19.00,    0.96,    0.78
    55,   19921127160400.,    7.73,  128.25,   28.83,  0.03832,  0.00009,    0.00,    0.30,    0.00,   19.00,    0.93,    0.80
    56,   19921127170000.,    6.62,  110.51,   28.82,  0.02537,  0.00008,    0.00,    0.32,    0.00,   19.00,    1.11,    0.76
    57,   19921127175200.,    5.72,   98.34,   28.79,  0.01907,  0.00007,    0.00,    0.33,    0.00,   19.00,    1.24,    0.73
    58,   19921127184300.,    4.75,   84.91,   28.76,  0.01305,  0.00006,    0.00,    0.36,    0.00,   19.00,    1.41,    0.69
    59,   19921127193500.,    3.57,   78.82,   28.78,  0.01143,  0.00005,    0.00,    0.34,    0.00,   19.00,    1.48,    0.65
    60,   19921127202600.,    2.92,   62.32,   28.80,  0.00653,  0.00004,    0.00,    0.32,    0.00,   19.00,    1.74,    0.61
    61,   19921127211700.,    3.61,   61.10,   28.91,  0.00562,  0.00004,    0.00,    0.32,    0.11,    1.41,    1.80,    0.62
